train_loss_step,grad_2_norm_step,epoch,step,val_loss_step,val_loss_epoch,train_loss_epoch,grad_2_norm_epoch
0.03910643979907036,40.036678314208984,183,263199,,,,
0.0425182543694973,13.816722869873047,183,263209,,,,
0.04301327094435692,42.863426208496094,183,263219,,,,
0.04100443422794342,51.28776550292969,183,263229,,,,
0.03959653899073601,42.56838607788086,183,263239,,,,
0.05507180467247963,54.1627311706543,183,263249,,,,
0.06346973776817322,32.96435546875,183,263259,,,,
0.06657447665929794,49.26497268676758,183,263269,,,,
0.0383487194776535,32.80239486694336,183,263279,,,,
0.03986148536205292,47.813568115234375,183,263289,,,,
0.04071056470274925,45.256221771240234,183,263299,,,,
,,,0,0.051753561943769455,,,
,,,1,0.05572180077433586,,,
,,,2,0.04402519762516022,,,
,,,3,0.03355654329061508,,,
,,,4,0.03819214925169945,,,
,,,5,0.024601217359304428,,,
,,,6,0.036062464118003845,,,
,,,7,0.07324448972940445,,,
,,,8,0.061524730175733566,,,
,,,9,0.031183460727334023,,,
,,,10,0.04346804693341255,,,
,,,11,0.030866339802742004,,,
,,,12,0.04125303402543068,,,
,,,13,0.0442928709089756,,,
,,,14,0.05230104923248291,,,
,,,15,0.03565486520528793,,,
,,,16,0.03534959256649017,,,
,,,17,0.05740148946642876,,,
,,,18,0.03773696720600128,,,
,,,19,0.04649882763624191,,,
,,,20,0.02786090597510338,,,
,,,21,0.05452108010649681,,,
,,,22,0.0355696976184845,,,
,,,23,0.05777733772993088,,,
,,,24,0.06651445478200912,,,
,,,25,0.04828209802508354,,,
,,,26,0.051158804446458817,,,
,,,27,0.0677393227815628,,,
,,,28,0.058273181319236755,,,
,,,29,0.02861683815717697,,,
,,,30,0.03569996729493141,,,
,,,31,0.08315049111843109,,,
,,,32,0.0517742782831192,,,
,,,33,0.04239920154213905,,,
,,,34,0.05744367092847824,,,
,,,35,0.06643319129943848,,,
,,,36,0.03662922978401184,,,
,,,37,0.03357899188995361,,,
,,,38,0.07539602369070053,,,
,,,39,0.03238339349627495,,,
,,,40,0.026828711852431297,,,
,,,41,0.036287885159254074,,,
,,,42,0.0385897159576416,,,
,,,43,0.04282335191965103,,,
,,,44,0.06323181837797165,,,
,,,45,0.04082892835140228,,,
,,,46,0.027224674820899963,,,
,,,47,0.038260478526353836,,,
,,,48,0.03575259819626808,,,
,,,49,0.0368519090116024,,,
,,,50,0.04407916218042374,,,
,,,51,0.04391320049762726,,,
,,,52,0.029703950509428978,,,
,,,53,0.04575157165527344,,,
,,,54,0.05777900293469429,,,
,,,55,0.026901666074991226,,,
,,,56,0.032592788338661194,,,
,,,57,0.034067098051309586,,,
,,,58,0.04149879887700081,,,
,,,59,0.036316387355327606,,,
,,,60,0.07646185159683228,,,
,,,61,0.039298079907894135,,,
,,,62,0.04897593706846237,,,
,,,63,0.04872383922338486,,,
,,,64,0.05215390771627426,,,
,,,65,0.032506294548511505,,,
,,,66,0.029928291216492653,,,
,,,67,0.03336624801158905,,,
,,,68,0.04617954045534134,,,
,,,69,0.045474935322999954,,,
,,,70,0.0471271313726902,,,
,,,71,0.047897860407829285,,,
,,,72,0.05929572135210037,,,
,,,73,0.06113288179039955,,,
,,,74,0.0449654720723629,,,
,,,75,0.041324637830257416,,,
,,,76,0.04756287857890129,,,
,,,77,0.03496232256293297,,,
,,,78,0.03521334007382393,,,
,,,79,0.03337972238659859,,,
,,,80,0.032341670244932175,,,
,,,81,0.03572406992316246,,,
,,,82,0.08338455855846405,,,
,,,83,0.06899154931306839,,,
,,,84,0.044921375811100006,,,
,,,85,0.03227832913398743,,,
,,,86,0.04725296050310135,,,
,,,87,0.05105660483241081,,,
,,,88,0.03598000854253769,,,
,,,89,0.03765776753425598,,,
,,,90,0.04726430028676987,,,
,,,91,0.031840093433856964,,,
,,,92,0.038012292236089706,,,
,,,93,0.03203129023313522,,,
,,,94,0.04771343246102333,,,
,,,95,0.06456366181373596,,,
,,,96,0.035645741969347,,,
,,,97,0.030722925439476967,,,
